Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Game Guru: Fantasy Pack,,,365530,,,,,
Game Guru: Mega Pack 1,,,321140,,,,,
Game Guru: Megapack 2,,,321141,,,,,
Game Guru: Megapack 3,,,321142,,,,,
Game of Thrones: A Telltale Games Series,,,330840,,14.99,,,No longer listed for sale. Price from SteamDB.
Gemini Rue,,,,,,,,
Getting Over It with Bennett Foddy,,,,,,,,
Girls Like Robots,,,,,,,,
Gish,,,,,,,,
Goats On A Bridge,,,,,,,,
GOD EATER 2 Rage Burst,,,,,,,,
God's Trigger,,,,,,,,
Gonner,,,437570,,,,,
GoNNER - Press Jump To Die Edition,,,437570,,,,,
GRAV (Early Access),,,332500,,,,,
Greed Corp,,,,,,,,
"Gremlins, Inc.",,,,,,,,
Grim Dawn,,,,,,,,
GRIP: Combat Racing Artifex DLC,,,1087830,,,,,
Guacamelee Super Turbo Championship Edition,,,,,,,,
Guacamelee! 2,,,,,,,,
Guacamelee! Gold Edition,,,,,,,,
Guacamelee! Gold Edition,,,,,,,,
Guilty Gear X2 #Reload,,,,,,,,
Gunmetal Arcadia Zero,,,555610,,,,,
Guns & Fishes,,,,,,,,
Guns of Icarus Online,,,,,,,,
Gunscape,,,,,,,,
Hack 'n' Slash,,,,,,,,
Hacknet,,,,,,,,
HackyZack,,,,,,,,
"Haiku, the Robot",,,,,,,,
Hand of Fate,,,,,,,,
Hard Reset Redux,,,,,,,,
Harmony's Odyssey,,,,,,,,
Hector: Badge of Carnage,,,,,,,,
Hellblade: Senua's Sacrifice,,,,,,,,
HELLDIVERS Ranger Pack DLC,,,395230,,,,,
HELLDIVERS™,,,,,,,,
Hero Academy,,,209270,,4.99,,,No longer listed for sale. Price from SteamDB.
Hidden Folks,,,,,,,,
HITMAN™: THE COMPLETE FIRST SEASON,,,1829593,,,,,
HIVESWAP: Act 1,,,,,,,,
HOARD,,,,,,,,
Holy Potatoes! We're in Space?!,,,,,,,,
HoPiKo,,,,,,,,
Hot Tin Roof: The Cat That Wore A Fedora Deluxe,,,,,,,,
