Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Superbrothers: Sword & Sworcery EP,,,,,,,,
Superbrothers: Sword & Sworcery EP,,,,,,,,
Superfrog HD,,,,,9.99,,,"Steam page no longer exists, so not sure if it's redeemable. Price from SteamDB."
Surgeon Simulator 2013,,,233720,,,,,
Surviving Mars,,,,,,,,
Surviving Mars,,,,,,,,
Sweet Lily Dreams,,,,,,,,
Switchcars,,,,,,,,
Sword Legacy Omen,,,,,,,,
Swords & Soldiers HD,,,63500,,,,,
Swords and Soldiers 2 Shawarmageddon,,,,,,,,
Symmetry,,,,,,,,
System Shock 2,,,,,,,,
System Shock 2,,,,,,,,
System Shock Enhanced Edition,,,,,,,,
System Shock: Enhanced Edition,,,,,,,,
Tacoma,,,,,,,,
Tales from the Borderlands,,,330830,,,,,
Tannenberg,,,,,,,,
Team Indie,,,302850,,12.99,,,No longer listed for sale. Price from SteamDB.
Technobabylon,,,,,,,,
Teleglitch: Die More Edition,,,,,,,,
Telltale Games,,,,,74.93,"Includes <a href=""https://store.steampowered.com/app/31290/Back_to_the_Future_The_Game/"">Back to the Future: The Game</a>, <a href=""https://store.steampowered.com/app/901399"">Sam & Max: The Devil's Playhouse</a>, <a href=""https://store.steampowered.com/app/31280"">Poker Night at the Inventory</a>, <a href=""https://store.steampowered.com/app/94620"">Hector: Badge of Carnage</a>, <a href=""https://store.steampowered.com/app/31270"">Puzzle Agent</a>, <a href=""https://store.steampowered.com/app/94590"">Puzzle Agent 2</a>, and <a href=""https://store.steampowered.com/app/31100"">Wallace & Gromit's Grand Adventures</a>.",,"Combined price: Back to the Future ($19.99 from SteamDB), Sam & Max ($9.99), Poker Night at the Inventory ($4.99 from SteamDB), Hector ($14.99), Puzzle Agent ($4.99), Puzzle Agent 2 ($4.99), and Wallace & Gromit's Grand Adventures ($14.99). See bundle info: https://indiegamebundle.fandom.com/wiki/The_Humble_Weekly_Sale:_Telltale_Games"
Telltale Texas Hold'em,,,8330,,,,,
Teslagrad,,,,,,,,
The Adventure Pals,,,,,,,,
The Amazing American Circus,,,,,,,,
The Ball,,,,,,,,
The Banner Saga,,,,,,,,
The Bard's Tale,,,,,,,,
The Bard's Tale,,,,,,,,
The Basement Collection,,,,,,,,
The Binding of Isaac + Wrath of the Lamb DLC,,,,527893,,,,
The Chaos Engine,,,,,,,,
The Dwarves,,,,,,,,
The Elder Scrolls Online: Tamriel Unlimited,,,306130,,,,,
The Escapists - Alcatraz,,,349350,,,,,
The Escapists - Base Game,,,298630,,,,,
The Escapists - Duct Tapes are Forever,,,408730,,,,,
The Escapists - Escape Team,,,376700,,,,,
The Escapists - Fhurst Peak,,,349310,,,,,
The Escapists 2,,,,,,,,
The Final Station,,,,,,,,
The Flame in the Flood,,,318600,,,,,
The Incredible Adventures of Van Helsing: Final Cut,,,,,,,,
The Inner World,,,251430,,,,,
The Journey Down: Chapter Three,,,,,,,,
The Last Remnant,,TRUE,23310,,9.99,,,No longer listed for sale. Price from SteamDB.
The Magic Circle,,,,,,,,
The Norwood Suite,,,,,,,,
The Red Solstice,,,,,,,,
The Sexy Brutale,,,,,,,,
The Shrouded Isle,,,,,,,,
The Stanley Parable,,,221910,,,,,
The Surge,,,378540,,,,,
The Swapper,,,,,,,,
The Swapper,,,,,,,,
The Turing Test,,,,,,,,
The Walking Dead,,,207610,,,,,
The Walking Dead: 400 Days,,,207620,,,,,
The Walking Dead: Season 1,,,207610,,,,,
The Walking Dead: Season 2,,,261030,,,,,
The Wolf Among Us,,,,,,,,
Thirty Flights of Loving,,,,,,,,
This is the Police,,,,,,,,
This War of Mine,,,,,,,,
This War of Mine,,,,,,,,
Thomas Was Alone,,,,,,,,
THOTH,,,,,,,,
Ticket to Ride,,,,,,,,
Ticket to Ride 1910 USA DLC,,,108232,,,,,
Ticket to Ride Europe DLC,,,108230,,,,,
TIMEframe,,,,,,,,
Timespinner,,,,,,,,
Tiny and Big in Grandpa's Leftovers,,,,,,,,
TIS-100,,TRUE,,,,,,
Titan Quest,,,,,,,,
Titan Quest Anniversary,,,475150,,,,,
Titan Quest Anniversary Edition,,,475150,,,,,
Titan Quest: Anniversary Edition + Titan Quest: Ragnarok DLC,,,475150,,,,,
To the Moon,,,,,,,,
Toki Tori,,,38700,,,,,
Toki Tori 2+,,,,,,,,
Tomb Raider,,,203160,,,,,
Tooth and Tail,,,,,,,,
Torment: Tides of Numenera,,,,,,,,
Total War: WARHAMMER,,,364360,,,,,
Tower of Guns,,,,,,,,
Tower Unite,,,,,,,,
Town of Salem,,,,,,,,
Train Valley,,,,,,,,
Train Valley 2,,,,,,,,
Trainz Simulator 12,,,,,,,,
Tricky Towers,,,,,,,,
Trine 2: Complete Story,,,,,,,,
Tumblestone,,,,,,,,
Undertale,,TRUE,,,,,,
Uurnog Uurnlimited,,,,,,,,
Vertiginous Golf,,,,,,,,
Vikings - Wolves of Midgard,,,,,,,,
Volgarr the Viking,,,,,,,,
VVVVVV,,,,,,,,
Waking,,,1068600,,,,,
Waking Mars,,,,,,,,
Waking Mars,,,,,,,,
Waking Mars,,,,,,,,
Wandersong,,,,,,,,
War for the Overworld,,,,,,,,
Wargame: Red Dragon,,,,,,,,
"Warhammer 40,000: Dawn of War III",,,,,,,,
"Warhammer 40,000: Mechanicus",,,,,,,,
Warhammer: End Times - Vermintide,,,,,,,,
Warhammer: End Times - Vermintide Schluesselschloss DLC,,,437070,,,,,
Warhammer: End Times - Vermintide The Outsider DLC,,,,,0.99,,,"Doesn't seem to have a store page, but it's just a hat so we can use the usual cosmetic DLC price."
Warhammer: Vermintide 2 - Collector's Edition,,,737040,,,,,
"Warhammer® 40,000: Dawn of War",,,4570,,,,,
Wasted,,,,,,,,
Wasteland 2: Director's Cut - Classic Edition,,,240760,,,,,
Wasteland 2: Director’s Cut - Classic Edition,,,240760,,,,,
We Were Here Too,,,,,,,,
Westerado: Double Barreled,,,,,,,,
Western Press,,,,,,,,
Western Press Mk Cans II Character DLC,,,,,0.99,"A <a href=""https://steamcommunity.com/app/377360/discussions/0/152390648084872474/"">bonus character normally only available to Humble Monthly subscribers</a>.",,No store page since it's a custom DLC; defaulted to the usual small DLC price.
Whisper Of A Rose,,,,,,,,
Wildlife Park 3,,,,,,,,
Windosill,,TRUE,,,,,,
Windward,,,,,,,,
Witch It,,,,,,,,
Wizard of Legend,,TRUE,,,,,,
"Wizorb, BIT.TRIP.RUNNER, Gratuitous Space Battles, and Jamestown",,,,,37.96,"Includes <a href=""https://store.steampowered.com/app/207420"">Wizorb</a>, <a href=""https://store.steampowered.com/app/63710"">BIT.TRIP.RUNNER</a>, <a href=""https://store.steampowered.com/app/41800"">Gratuitous Space Battles</a>, and <a href=""https://store.steampowered.com/app/94200"">Jamestown</a>.",,"Combined price: Wizorb ($2.99), BIT.TRIP.RUNNER ($9.99), Gratuitous Space Battles ($14.99), and Jamestown ($9.99)."
World Of Goo,,,,,,,,
World of Goo,,,,,,,,
"World of Goo, Anomaly, Osmos, and EDGE",,,,,36.97,"Includes <a href=""https://store.steampowered.com/app/22000"">World of Goo</a>, <a href=""https://store.steampowered.com/app/2116460"">Anomaly</a>, <a href=""https://store.steampowered.com/app/29180"">Osmos</a>, and <a href=""https://store.steampowered.com/app/38740"">EDGE</a>.",,"Combined price: World of Goo ($14.99), Anomaly ($4.99), Osmos ($9.99), and EDGE ($6.99)."
World to the West,,,,,,,,
Worms Armageddon,,,,,,,,
Worms Blast,,,,,,,,
Worms Crazy Golf,,,,,,,,
Worms Pinball,,,,,,,,
Worms Reloaded,,,,,,,,
Worms Revolution Gold,,,,31437,,,,
Worms Rumble,,,,,,,,
Worms Ultimate Mayhem,,,,,,,,
Worms W.M.D,,,,,,,,
Wuppo,,,400630,,,,,
WWE 2K16,,,385730,,5.99,,,No longer listed for sale; replaced by a newer version.
X-Morph: Defense Complete Pack,,,408410,,,,,
XCOM® 2,,,,,,,,
XEL,,,,,,,,
Yakuza 0,,,,,,,,
Yakuza 3 Remastered,,,,,,,,
Yakuza Kiwami,,,,,,,,
Yooka-Laylee,,,,,,,,
Zen Bound 2,,,,,,,,
Ziggurat,,,,,,,,
Zombie Driver HD,,,,,,,,
Zombie Night Terror,,,,,,,,
